61.155.6.21 南京电信
61.147.75.88 扬州电信
60.191.221.2 温州电信
123.58.161.20 杭州网易
60.190.249.9 浙江电信
125.77.22.8 福建电信
220.162.247.170 福建电信
183.57.73.118 广东电信
61.140.99.9 广东电信
58.59.134.18 广西电信
59.63.158.181 江西电信
61.190.70.19 安徽电信
113.240.233.84 湖南电信
222.221.6.50 云南电信
125.64.4.130 四川电信
202.101.91.130 贵州电信
61.189.175.18 贵州电信
222.85.126.17 河南电信
219.148.38.26 河北电信
61.129.65.9 上海电信
219.150.32.132 天津电信
119.97.137.62 湖北电信
219.141.158.59 北京电信
59.46.13.57 辽宁电信
123.173.125.9 吉林电信
219.147.134.36 黑龙江
58.56.65.20 山东电信
115.236.73.179 浙江电信
117.34.17.60 陕西电信
218.70.65.62 重庆电信
223.220.253.38 青海电信
219.148.163.130 内蒙电信
218.77.183.230 海南电信
202.100.85.45 甘肃电信
219.149.149.130 山西电信
202.100.110.100 宁夏电信
222.83.4.51 新疆电信
42.48.1.195 湖南联通
123.133.75.13 山东联通
112.84.104.10 江苏联通
101.71.32.140 浙江联通
221.5.88.88 广东联通
202.106.195.35 北京联通
61.181.69.25  天津联通
218.104.78.2 安徽联通
218.104.128.109 福建联通
202.99.160.72 河北联通
202.102.224.49 河南联通
202.97.224.1 黑龙江联通
220.248.192.97 江西联通
202.99.216.101 山西联通
210.22.71.188 上海联通
221.5.203.247 重庆联通
221.181.240.19  常州移动
221.181.240.5 南京移动
120.210.239.7 安徽移动
211.136.95.17 北京移动
112.5.253.226 福建移动
111.11.129.77 甘肃移动
111.12.50.166 广西移动
117.135.197.66 贵州移动
218.207.90.101 河北移动
120.194.67.229 河南移动
111.40.197.6 黑龙江移动
120.202.1.1 湖北移动
221.176.20.234 湖南移动
111.26.23.178 吉林移动
211.138.215.232 江西移动
211.137.0.44 辽宁移动
120.193.237.107 内蒙古移动
111.12.193.66 青海移动
120.192.96.2 山东移动
218.200.250.98 山西移动
218.200.1.35 陕西移动
117.184.120.22 上海移动
221.182.40.2 四川移动
117.131.224.162 添加移动
211.139.30.43 云南移动
211.140.0.2 浙江移动
218.201.3.2 重庆移动
36.110.165.172 搜狗北京
36.110.164.102 搜狗北京
106.39.246.21 搜狗北京
218.30.103.170 搜狗北京
